"N" "phiv" "PrEP1" "PrEP2" "p1" "p2" "model" "eprob" "pow" "nb" "rprob" "hiv_given_prep_g" "hiv_given_prep_h" "hiv_given_prep_j" "hiv_given_prep_k" "hiv_given_no_prep_g" "hiv_given_no_prep_h" "hiv_given_no_prep_j" "hiv_given_no_prep_k" "p_prep_g" "p_prep_h" "p_prep_i" "p_prep_k" "p_noprep_g" "p_noprep_h" "p_noprep_i" "p_noprep_k" "Y^control" "Y^random" "Y^additive" "Y^regenerated" "RD_random" "RD_additive" "RD_regenerated" "Number of Components g" "Largest Component Size g" "Avg. Betweenness g" "Density g" "Degree Centralization g" "Avg. Geodesic Distance g" "Diameter g" "Transitivity g" "Proportion of nodes in 2-cores g" "Degree Assortativity g" "Number of Components k" "Largest Component Size k" "Avg. Betweenness k" "Density k" "Degree Centralization k" "Avg. Geodesic Distance k" "Diameter k" "Transitivity k" "Proportion of nodes in 2-cores k" "Degree Assortativity k" "nsim"
"1" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.133333333333333 0.0333333333333333 0.133333333333333 0.266666666666667 0.0888888888888889 0.133333333333333 0.0888888888888889 0.0592592592592593 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.0977777777777778 0.0933333333333333 0.106666666666667 0.142222222222222 -0.00444444444444445 0.0088888888888889 0.0444444444444444 5 45 47.16 0.0571428571428571 0.0857142857142857 3.37941473259334 7 0.0434782608695652 0.34 -0.100206244221606 5 46 47.48 0.0587755102040816 0.104489795918367 3.29371980676328 7 0.0905172413793103 0.7 -0.0469953775038522 200
"2" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0 0.133333333333333 0.0666666666666667 0.2 0.1 0.0740740740740741 0.103703703703704 0.118518518518519 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.08 0.0977777777777778 0.0888888888888889 0.151111111111111 0.0177777777777778 0.00888888888888888 0.0711111111111111 4 47 61.06 0.0530612244897959 0.0693877551020408 3.82423681776133 9 0.0379746835443038 0.74 0.0386002886002889 4 47 49.66 0.0604081632653061 0.123265306122449 3.29694727104533 7 0.037037037037037 0.44 -0.132638650330165 200
"3" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.266666666666667 0.0666666666666667 0.266666666666667 0.3 0.122222222222222 0.192592592592593 0.103703703703704 0.103703703703704 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.151111111111111 0.142222222222222 0.168888888888889 0.182222222222222 -0.00888888888888892 0.0177777777777778 0.0311111111111111 2 49 50.4 0.073469387755102 0.0693877551020408 3.14285714285714 8 0.0690789473684211 0.48 0.0253152988484739 2 49 58.7 0.0620408163265306 0.101224489795918 3.49574829931973 9 0.027906976744186 0.78 0.11344124778819 200
"4" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.2 0.2 0.133333333333333 0.233333333333333 0.0666666666666667 0.0444444444444445 0.0740740740740741 0.118518518518519 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.0933333333333334 0.106666666666667 0.0977777777777778 0.164444444444444 0.0133333333333333 0.00444444444444442 0.0711111111111111 5 46 54.1 0.0546938775510204 0.0677551020408163 3.61352657004831 8 0.0175438596491228 0.78 -0.252131147540984 3 47 48.44 0.0653061224489796 0.0775510204081633 3.23844731977819 7 0.0643776824034335 0.86 0.0532920339925347 200
"5" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.133333333333333 0.133333333333333 0.133333333333333 0.133333333333333 0.0666666666666667 0.0592592592592593 0.0592592592592593 0.118518518518519 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.08 0.0888888888888889 0.0888888888888889 0.124444444444444 0.00888888888888888 0.00888888888888888 0.0444444444444444 5 46 57.28 0.0497959183673469 0.0930612244897959 3.76714975845411 8 0.0208333333333333 0.7 -0.304690431519699 4 45 51 0.0563265306122449 0.0661224489795918 3.56797583081571 8 0 0.76 -0.113229686124963 200
"6" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.0666666666666667 0.233333333333333 0.2 0.233333333333333 0.2 0.177777777777778 0.192592592592593 0.0740740740740741 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.173333333333333 0.2 0.195555555555556 0.137777777777778 0.0266666666666666 0.0222222222222222 -0.0355555555555556 2 49 50.58 0.0742857142857143 0.0889795918367347 3.15051020408163 8 0.0849056603773585 0.14 0.0429873025104202 5 46 51.02 0.0604081632653061 0.0824489795918367 3.46473429951691 8 0.0697674418604651 0.42 0.0286632735065631 200
"7" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.133333333333333 0.1 0.2 0.1 0.111111111111111 0.133333333333333 0.0888888888888889 0.162962962962963 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.115555555555556 0.12 0.133333333333333 0.137777777777778 0.00444444444444443 0.0177777777777778 0.0222222222222222 3 48 53.02 0.0628571428571429 0.120816326530612 3.35017730496454 7 0.100418410041841 0.82 0.0105217766278567 2 49 57.14 0.0644897959183673 0.0375510204081633 3.42942176870748 7 0.0416666666666667 0.86 -0.0244956772334295 200
"8" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.2 0.133333333333333 0.133333333333333 0.166666666666667 0.133333333333333 0.162962962962963 0.162962962962963 0.0888888888888889 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.146666666666667 0.151111111111111 0.151111111111111 0.12 0.00444444444444442 0.00444444444444442 -0.0266666666666667 4 47 54.5 0.0595918367346939 0.083265306122449 3.52081406105458 8 0.0298507462686567 0.82 -0.132234334840024 4 46 45.98 0.0595918367346939 0.083265306122449 3.21911196911197 6 0.0285714285714286 0.74 -0.116314079708423 200
"9" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.133333333333333 0.266666666666667 0.2 0.1 0.144444444444444 0.103703703703704 0.133333333333333 0.0592592592592593 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.142222222222222 0.168888888888889 0.16 0.0755555555555556 0.0266666666666666 0.0177777777777778 -0.0666666666666667 2 49 63.14 0.0604081632653061 0.102857142857143 3.68452380952381 10 0.0675675675675676 0.66 0.0934959349593495 5 46 73.68 0.0473469387755102 0.0546938775510204 4.55942028985507 10 0.072 0.56 -0.228235294117648 200
"10" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.266666666666667 0.2 0.233333333333333 0.166666666666667 0.166666666666667 0.192592592592593 0.177777777777778 0.118518518518519 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.186666666666667 0.195555555555556 0.2 0.137777777777778 0.00888888888888886 0.0133333333333333 -0.0488888888888889 1 50 55 0.073469387755102 0.0897959183673469 3.24489795918367 8 0.1 0.92 0.213235294117647 3 48 62.54 0.0579591836734694 0.0644897959183673 3.77216312056738 9 0.0337078651685393 0.82 -0.16635816751504 200
"11" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.0666666666666667 0.1 0.166666666666667 0.233333333333333 0.0777777777777778 0.0740740740740741 0.0444444444444445 0.192592592592593 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.0755555555555556 0.0844444444444444 0.0933333333333333 0.208888888888889 0.00888888888888888 0.0177777777777778 0.133333333333333 3 48 50.66 0.0653061224489796 0.0775510204081633 3.24556737588652 7 0.075 0.88 -0.21875 5 45 41.62 0.0677551020408163 0.0955102040816326 3.09989909182644 7 0.116197183098592 0.22 0.0505321794489208 200
"12" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.133333333333333 0.1 0.2 0.0333333333333333 0.1 0.118518518518519 0.0740740740740741 0.118518518518519 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.106666666666667 0.111111111111111 0.124444444444444 0.0844444444444444 0.00444444444444442 0.0177777777777778 -0.0222222222222222 3 48 44.68 0.0726530612244898 0.111020408163265 2.98049645390071 6 0.0794117647058823 0.34 -0.0999181208740597 2 49 61.24 0.0587755102040816 0.0840816326530612 3.60374149659864 9 0.0301507537688442 0.72 -0.0678804049281957 200
"13" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.2 0.133333333333333 0.133333333333333 0.166666666666667 0.0666666666666667 0.0740740740740741 0.0740740740740741 0.0888888888888889 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.0933333333333334 0.0977777777777778 0.0977777777777778 0.12 0.00444444444444442 0.00444444444444442 0.0266666666666667 3 48 63.78 0.0571428571428571 0.0653061224489796 3.82712765957447 9 0.0497237569060773 0.72 0.052529809861424 4 47 50.42 0.0644897959183673 0.0783673469387755 3.33209990749306 7 0.128205128205128 0.76 0.0687076625318907 200
"14" "50" "0.1" "0.2" "0.4" "0.4" "0.6" "ER" "0.06" "1" "5" "0.05" 0.266666666666667 0.266666666666667 0.2 0.133333333333333 0.1 0.0740740740740741 0.103703703703704 0.103703703703704 0.2 0.4 0.4 0.4 0.8 0.6 0.6 0.6 0.133333333333333 0.151111111111111 0.142222222222222 0.115555555555556 0.0177777777777778 0.00888888888888886 -0.0177777777777778 2 49 53.14 0.0669387755102041 0.0963265306122449 3.2593537414966 7 0.056390977443609 0.46 -0.011693588346051 3 48 49.9 0.0644897959183673 0.0783673469387755 3.21187943262411 7 0.0504201680672269 0.82 -0.162876278795908 200
